triplodTreasure,triplodHunting
crustoiseTreasure,crustoiseHunting
tinticTreasure,tinticHunting
pulpinTreasure,pulpinHunting
iguarmorTreasure,iguarmorHunting
oculobTreasure,oculobHunting
snagglerTreasure,snagglerHunting
paraspriteTreasure,paraspriteHunting
agrobatTreasure,agrobatHunting
pteropodTreasure,pteropodHunting
batongTreasure,batongHunting
bobfaeTreasure,bobfaeHunting
paratailTreasure,paratailHunting
scandroidTreasure,scandroidHunting
monopusTreasure,monopusHunting
spookitTreasure,spookitHunting
wisperTreasure,wisperHunting
gosmetTreasure,gosmetHunting
squeemTreasure,squeemHunting
lumothTreasure,lumothHunting
pyromantleTreasure,pyromantleHunting
skimbusTreasure,skimbusHunting
ignomeTreasure,ignomeHunting
nautileechTreasure,nautileechHunting
crabcanoTreasure,crabcanoHunting
narfinTreasure,narfinHunting
lilodonTreasure,lilodonHunting
petricubTreasure,petricubHunting
scaveranTreasure,scaveranHunting
nutmidgelingTreasure,nutmidgelingHunting
adultpoptopTreasure,adultpoptopHunting
peblitTreasure,peblitHunting
poptopTreasure,poptopHunting
snauntTreasure,snauntHunting
anglureTreasure,anglureHunting
empty,hemogoblinHunting
ringramTreasure,ringramHunting
fennixTreasure,fennixHunting
capricoatTreasure,capricoatHunting
voltipTreasure,voltipHunting
snuffishTreasure,snuffishHunting
miasmopTreasure,miasmopHunting
crutterTreasure,crutterHunting
ooglerTreasure,ooglerHunting
bobotTreasure,bobotHunting
quagmuttTreasure,quagmuttHunting
orbideTreasure,orbideHunting
taroniTreasure,taroniHunting
smoglinTreasure,smoglinHunting
petricubTreasure,petricubHunting
mandrafloraTreasure,mandrafloraHunting
pipkinTreasure,pipkinHunting
trictusTreasure,trictusHunting
bulbopTreasure,bulbopHunting
sporgusTreasure,sporgusHunting
toumingoTreasure,toumingoHunting
yokatTreasure,yokatHunting
hypnareTreasure,hypnareHunting
gleapTreasure,gleapHunting
